Zip code, Price($),Population,Area (mi^2),Density (/mi^2),Rent($),Parking/rent, stdev($)
02118,259.21875,26498,1.096,24177.0073,3542.841667,0.073166902,63.52684694
02120,165.8823529,15181,0.621,24446.05475,2588.981132,0.064072446,29.22792686
02130,135.5,35401,3.334,10618.17636,2624.25,0.0516338,17.05872211
02134,153.9428571,21503,1.326,16216.44042,2397.691667,0.064204609,35.15127434
02135,156.4385965,42780,2.635,16235.29412,2157.833333,0.072497998,50.60256999
02445,172.6857143,20679,2.603,7944.295044,2630.041667,0.065658927,27.32997861
02446,192.622449,29311,1.287,22774.66977,2792.633333,0.068975202,48.0876595
02467,149,22491,4.872,4616.37931,2537.954545,0.058708695,79.01898506
02108,425,3825,0.137,27919.70803,3299.051724,0.128824897,28.86751346
02114,339.5,11999,0.45,26664.44444,3535.791667,0.096018101,11.73314394
02115,228.6785714,28441,0.709,40114.24542,3041.458333,0.075187146,76.97629083
02116,354.0909091,20628,0.631,32690.96672,4307.159664,0.082209841,61.10720832
02215,245.3166667,26125,0.765,34150.3268,3259.816667,0.075254743,62.10092706
02128,148,40508,4.851,8350.443208,2596.10084,0.057008571,
02129,342.5,16439,1.352,12159.02367,3467.885714,0.098763347,222.7386361
02150,162.5,35124,2.208,15907.6087,2415.135802,0.067284001,
02124,125,47783,3.003,15911.75491,2105.5625,0.059366559,
02131,300,29826,2.592,11506.94444,2169.897959,0.138255349,
02136,75,28488,4.59,6206.535948,1797,0.041736227,
02111,359.3,7383,0.27,27344.44444,4024.125,0.089286491,63.2438842
02113,400,6915,0.1,69150,2883.125,0.138738348,
02125,125,33295,2.132,15616.79174,2548.5,0.04904846,35.35533906
02127,279.0487805,31799,2.023,15718.73455,3215.691667,0.086777219,98.23720049
02210,120,2090,0.965,2165.803109,4556.633333,0.026335233,
02472,184.8181818,32014,4.031,7941.949888,2260.6,0.081756251,139.8919713
02155,112,57964,8.197,7071.367574,2288.733333,0.048935365,21.67948339
02149,125,41550,3.426,12127.84588,2090.2,0.05980289,
02145,118,25439,1.396,18222.77937,2394.766667,0.049274112,35.68379651
02144,156.0869565,23891,1.082,22080.40665,2428.25,0.064279607,43.66599784
02143,169.8823529,24514,1.543,15887.23266,2641.958333,0.064301678,38.14943878
02138,162.9583333,36314,2.74,13253.28467,2827.55,0.057632344,62.58065718
02139,208.5185185,36349,1.558,23330.55199,2867.75,0.07271154,68.3111492
02141,173.5714286,11910,0.642,18551.40187,3203.75,0.054177582,29.82089392
